H_neurons_1	H_neurons_2	H_neurons_3	NR_neurons_1	NR_neurons_2	NR_neurons_3
A1BG	13.5585716118763	10.8682323107981	18.6267014583163	13.1561735063597	10.6279346845016	9.29270258629089
A1BG-AS1	6.53276632208584	4.86340989250326	8.722747999992	5.67398952170014	8.68123377694438	8.8766114257107
A2M	581.847611762381	0.893279368010802	0.363447833333	158.435245875165	17.6781487821413	33.8420810605221
A2M-AS1	0.554668838667666	0.595519578673868	0.81775762499925	1.37173373052091	1.89408736951514	0.346742633816824
A2ML1	0.677928580593814	0	0.09086195833325	0.374109199232976	2.78851751623062	1.59501611555739
A4GALT	5.23853903186129	2.38207831469547	7.0872327499935	1.80819446295939	0.0526135380420871	0
AAAS	66.2521112853045	35.5326681942075	59.7871685832785	49.5694688983694	33.7252778849779	42.9267380665229
AACS	36.4232537391767	20.6446787273608	53.8811412916173	42.4613941129428	42.9852605803852	40.1527969959883
AADAT	25.822915933528	37.3688535617852	10.2674012916573	39.6555751186955	28.4113105427271	29.1263812406132
AAED1	7.21069490267965	7.24548820719873	6.542060999994	5.05047418964518	3.63033412490401	2.42719843671777
AAGAB	93.4308843800201	135.083691095856	133.112768958211	82.3040238312548	65.2934007102301	66.713282746357
AAK1	60.3356436728494	86.6480986970478	78.6864559165945	119.029076889292	202.035986081615	192.650207348628
AAMDC	11.3398962572056	12.0592714681458	8.08671429165925	6.98337171901556	3.57772058686193	3.32872928464151
AAMP	105.571968959746	45.259487979214	106.035905374903	88.9132863510374	84.8656368618866	85.6454305527556
AANAT	0.30814935481537	5.01228978717172	4.63395987499575	0.374109199232976	0.315681228252523	0.208045580290095
AAR2	53.309838383059	36.028934509769	62.6038892916093	50.1306326972188	50.719450672572	49.029408421699
AARD	0.92444806444611	1.7865587360216	3.0893065833305	0.935272998082441	0.526135380420871	1.10957642821384
AARS	212.438165209716	111.262907948901	245.599873374775	182.565289225692	208.033929418413	172.261740480198
AARS2	28.7811497397555	22.8282505158316	43.61373999996	30.8640089367206	26.0963148688752	27.947456285636
AASDH	25.6996561916018	36.5252008253306	25.3504863749768	26.4370500791303	22.8868890483079	23.0237108854371
AASDHPPT	150.253625407974	248.182784412335	139.563967999872	222.158512811182	131.639072181302	117.961844024484
AASS	90.7191700576449	58.5594252362637	40.342709499963	56.7398952170014	75.7108812425634	86.5469614006794
AATF	47.7015201254193	32.7039501955066	57.6064815832805	51.6270694941507	28.4639240807691	31.553579677331
AATK	14.6679092892116	7.14623494408642	22.533765666646	12.4703066410992	44.3005990314374	33.9807781140488
ABAT	221.066347144546	102.826380584355	108.489178249901	214.551625760112	417.014902521583	341.333448729282
ABCA1	64.3415852854492	43.5225558747485	41.9782247499615	63.0374000707565	143.161437012519	172.608483114015
ABCA10	0.61629870963074	0.248133157780778	0	1.6211398633429	0.631362456505046	0.624136740870284
ABCA11P	6.10135722534432	9.67719315345036	7.90499037499275	11.4726821098113	8.20771193456559	7.76703499749686
ABCA12	1.04770780637226	2.33245168313932	6.3603370833275	1.99524906257587	2.20976859776766	1.31762200850393
ABCA13	2.21867535467066	6.10407568140715	10.4491252083238	3.1799281934803	0.789203070631307	0.832182321160378
ABCA17P	1.04770780637226	2.03469189380238	1.817239166665	1.43408526372641	1.47317906517844	1.45631906203066
ABCA2	157.710839794506	53.7952686068728	215.797151041469	149.144867427547	266.119275416877	252.636682998938
ABCA3	143.720859085888	64.8123808123393	214.797669499803	185.059350553912	229.500252939584	221.637891535714
ABCA4	0.554668838667666	0.248133157780778	2.3624109166645	0.748218398465953	0.36829476629461	0.346742633816824
ABCA5	8.07351309616269	19.2055064122322	16.5368764166515	21.3242243562797	31.6733499013365	12.2053407103522
ABCA6	0.369779225778444	0.397013052449245	0	0.810569931671449	1.31533845105218	1.59501611555739
ABCA7	34.9441368360629	13.4984437832743	35.7996115833005	15.2761256353465	31.8838040535048	28.5715930265063
ABCA8	253.545289142086	58.1624121838145	65.9657817499395	129.878243667048	27.8851751623062	47.9891805202485
ABCA9	4.00594161259981	1.98506526224623	2.81672070833075	3.86579505874076	0.631362456505046	0.901530847923743
ABCB1	1.664006516003	1.53842557824083	0.363447833333	2.49406132821984	7.47112240197638	8.59921731865724
ABCB10	29.150928965534	30.2226186176988	45.5218411249583	29.8040328722271	22.7816619722237	19.001496333162
ABCB4	1.97215587081837	3.17610441959396	1.453791333332	1.12232759769893	0.894430146715481	0.208045580290095
ABCB6	51.2760526412775	21.8357178847085	90.135062666584	54.806997687631	70.9230492807335	55.0627302501117
ABCB7	29.8904874170909	40.8427177707161	30.529617999972	28.4322991417062	16.3628103310891	17.4758287443679
ABCB8	38.5802992228843	10.2230861005681	32.8011669583033	31.9863365344195	61.1369312049053	61.0960520785244
ABCB9	6.34787670919662	5.21079631339635	10.4491252083238	10.6621121781398	17.3624675538888	16.7129949499709
ABCC1	76.7908192199902	34.2920024053036	124.662606833219	66.1549767310313	36.6190224772927	39.8060543621714
ABCC10	22.5565327724851	11.6622584156966	33.5280626249693	29.4922752061996	36.4611818631664	37.6562500325071
ABCC11	0.801188322519962	0.496266315561557	0.09086195833325	1.30938219731542	1.31533845105218	2.28850138319104
ABCC2	0.739558451556888	1.04215926267927	3.4527544166635	0.997624531287937	0.841816608673394	0.624136740870284
ABCC3	5.73157799956588	0.69477284178618	3.72534029166325	1.18467913090443	4.36692365749323	0.554788214106919
ABCC4	54.8505851571358	47.8400728201341	87.590927833253	107.306988646659	15.100085418079	18.6547536993452
